item_code,item_description,MRP,BP,MOQ
1SDA066799R1,XT1B 160 TMD 16-450 3p F F,8530,0,0
1SDA066800R1,XT1B 160 TMD 20-450 3p F F,8530,0,0
1SDA066801R1,XT1B 160 TMD 25-450 3p F F,8530,0,0
1SDA066802R1,XT1B 160 TMD 32-450 3p F F,8530,0,0
1SDA066803R1,XT1B 160 TMD 40-450 3p F F,8530,0,0
1SDA066804R1,XT1B 160 TMD 50-500 3p F F,8530,0,0
1SDA066805R1,XT1B 160 TMD 63-630 3p F F,8530,0,0
1SDA066806R1,XT1B 160 TMD 80-800 3p F F,8530,0,0
1SDA066807R1,XT1B 160 TMD 100-1000 3p F F,8530,0,0
1SDA066808R1,XT1B 160 TMD 125-1250 3p F F,12360,0,0
1SDA066809R1,XT1B 160 TMD 160-1600 3p F F,13640,0,0
1SDA066810R1,XT1B 160 TMD 16-450 4p F F,11870,0,0
1SDA066811R1,XT1B 160 TMD 20-450 4p F F,11870,0,0
1SDA066812R1,XT1B 160 TMD 25-450 4p F F,11870,0,0
1SDA066813R1,XT1B 160 TMD 32-450 4p F F,11870,0,0
1SDA066814R1,XT1B 160 TMD 40-450 4p F F,11870,0,0
1SDA066815R1,XT1B 160 TMD 50-500 4p F F,11870,0,0
1SDA066816R1,XT1B 160 TMD 63-630 4p F F,11870,0,0
1SDA066817R1,XT1B 160 TMD 80-800 4p F F,11870,0,0
1SDA066818R1,XT1B 160 TMD 100-1000 4p F F,11870,0,0
1SDA066888R1,XT1B 160 TMD 125-1250 4p F F InN=100%,14950,0,0
1SDA066821R1,XT1B 160 TMD 160-1600 4p F F InN=100%,18970,0,0
1SDA080825R1,XT1C 160 TMD 16-450 3p F F,9310,0,0
1SDA080826R1,XT1C 160 TMD 20-450 3p F F,9310,0,0
1SDA067391R1,XT1C 160 TMD 25-450 3p F F,9310,0,0
1SDA067392R1,XT1C 160 TMD 32-450 3p F F,9310,0,0
1SDA067393R1,XT1C 160 TMD 40-450 3p F F,9310,0,0
1SDA067394R1,XT1C 160 TMD 50-500 3p F F,9310,0,0
1SDA067395R1,XT1C 160 TMD 63-630 3p F F,9310,0,0
1SDA067396R1,XT1C 160 TMD 80-800 3p F F,9310,0,0
1SDA067397R1,XT1C 160 TMD 100-1000 3p F F,9310,0,0
1SDA067398R1,XT1C 160 TMD 125-1250 3p F F,13910,0,0
1SDA067399R1,XT1C 160 TMD 160-1600 3p F F,17870,0,0
1SDA080840R1,XT1C 160 TMD 16-450 4p F F,13360,0,0
1SDA080841R1,XT1C 160 TMD 20-450 4p F F,13360,0,0
1SDA067400R1,XT1C 160 TMD 25-450 4p F F,13360,0,0
1SDA067401R1,XT1C 160 TMD 32-450 4p F F,13360,0,0
1SDA067402R1,XT1C 160 TMD 40-450 4p F F,13360,0,0
1SDA067403R1,XT1C 160 TMD 50-500 4p F F,13360,0,0
1SDA067404R1,XT1C 160 TMD 63-630 4p F F,13360,0,0
1SDA067405R1,XT1C 160 TMD 80-800 4p F F,13360,0,0
1SDA067406R1,XT1C 160 TMD 100-1000 4p F F,13360,0,0
1SDA067409R1,XT1C 160 TMD 125-1250 4p F F InN=100%,16790,0,0
1SDA067410R1,XT1C 160 TMD 160-1600 4p F F InN=100%,21650,0,0
1SDA080827R1,XT1N 160 TMF 16-450 3p F F,12280,0,0
1SDA080828R1,XT1N 160 TMF 20-450 3p F F,12280,0,0
1SDA080829R1,XT1N 160 TMD 25-450 3p F F,12280,0,0
1SDA067411R1,XT1N 160 TMD 32-450 3p F F,12280,0,0
1SDA067412R1,XT1N 160 TMD 40-450 3p F F,12280,0,0
1SDA067413R1,XT1N 160 TMD 50-500 3p F F,12280,0,0
1SDA067414R1,XT1N 160 TMD 63-630 3p F F,12280,0,0
1SDA067415R1,XT1N 160 TMD 80-800 3p F F,12280,0,0
1SDA067416R1,XT1N 160 TMD 100-1000 3p F F,12280,0,0
1SDA067417R1,XT1N 160 TMD 125-1250 3p F F,14370,0,0
1SDA067418R1,XT1N 160 TMD 160-1600 3p F F,18690,0,0
1SDA080842R1,XT1N 160 TMF 16-450 4p F F,15710,0,0
1SDA080843R1,XT1N 160 TMF 25-450 4p F F,15710,0,0
1SDA080844R1,XT1N 160 TMD 25-450 4p F F,15710,0,0
1SDA067419R1,XT1N 160 TMD 32-450 4p F F,15710,0,0
1SDA067420R1,XT1N 160 TMD 40-450 4p F F,15710,0,0
1SDA067421R1,XT1N 160 TMD 50-500 4p F F,15710,0,0
1SDA067422R1,XT1N 160 TMD 63-630 4p F F,15710,0,0
1SDA067423R1,XT1N 160 TMD 80-800 4p F F,15710,0,0
1SDA067424R1,XT1N 160 TMD 100-1000 4p F F,15710,0,0
1SDA067427R1,XT1N 160 TMD 125-1250 4p F F InN=100%,19700,0,0
1SDA067428R1,XT1N 160 TMD 160-1600 4p F F InN=100%,23040,0,0
1SDA080830R1,XT1S 160 TMF 16-450 3p F F,13030,0,0
1SDA080831R1,XT1S 160 TMF 20-450 3p F F,13030,0,0
1SDA080832R1,XT1S 160 TMD 25-450 3p F F,13030,0,0
1SDA080833R1,XT1S 160 TMD 32-450 3p F F,13030,0,0
1SDA080834R1,XT1S 160 TMD 40-450 3p F F,13030,0,0
1SDA067431R1,XT1S 160 TMD 50-500 3p F F,13030,0,0
1SDA067432R1,XT1S 160 TMD 63-630 3p F F,13030,0,0
1SDA067433R1,XT1S 160 TMD 80-800 3p F F,13030,0,0
1SDA067434R1,XT1S 160 TMD 100-1000 3p F F,13030,0,0
1SDA067435R1,XT1S 160 TMD 125-1250 3p F F,17580,0,0
1SDA067436R1,XT1S 160 TMD 160-1600 3p F F,21560,0,0
1SDA080845R1,XT1S 160 TMF 16-450 4p F F,19060,0,0
1SDA080846R1,XT1S 160 TMF 20-450 4p F F,19060,0,0
1SDA080847R1,XT1S 160 TMD 25-450 4p F F,19060,0,0
1SDA080848R1,XT1S 160 TMD 32-450 4p F F,19060,0,0
1SDA080849R1,XT1S 160 TMD 40-450 4p F F,19060,0,0
1SDA067439R1,XT1S 160 TMD 50-500 4p F F,19060,0,0
1SDA067440R1,XT1S 160 TMD 63-630 4p F F,19060,0,0
1SDA067441R1,XT1S 160 TMD 80-800 4p F F,19060,0,0
1SDA067442R1,XT1S 160 TMD 100-1000 4p F F,19060,0,0
1SDA067445R1,XT1S 160 TMD 125-1250 4p F F InN=100%,22270,0,0
1SDA067446R1,XT1S 160 TMD 160-1600 4p F F InN=100%,24840,0,0
1SDA080835R1,XT1H 160 TMF 16-450 3p F F,15620,0,0
1SDA080836R1,XT1H 160 TMF 20-450 3p F F,15620,0,0
1SDA080837R1,XT1H 160 TMD 25-450 3p F F,15620,0,0
1SDA080838R1,XT1H 160 TMD 32-450 3p F F,15620,0,0
1SDA080839R1,XT1H 160 TMD 40-450 3p F F,15620,0,0
1SDA067449R1,XT1H 160 TMD 50-500 3p F F,15620,0,0
1SDA067450R1,XT1H 160 TMD 63-630 3p F F,15620,0,0
1SDA067451R1,XT1H 160 TMD 80-800 3p F F,15620,0,0
1SDA067452R1,XT1H 160 TMD 100-1000 3p F F,15620,0,0
1SDA067453R1,XT1H 160 TMD 125-1250 3p F F,22550,0,0
1SDA067454R1,XT1H 160 TMD 160-1600 3p F F,25720,0,0
1SDA080850R1,XT1H 160 TMF 16-450 4p F F,21690,0,0
1SDA080851R1,XT1H 160 TMF 20-450 4p F F,21690,0,0
1SDA080852R1,XT1H 160 TMD 25-450 4p F F,21690,0,0
1SDA080853R1,XT1H 160 TMD 32-450 4p F F,21690,0,0
1SDA080854R1,XT1H 160 TMD 40-450 4p F F,21690,0,0
1SDA067457R1,XT1H 160 TMD 50-500 4p F F,21690,0,0
1SDA067458R1,XT1H 160 TMD 63-630 4p F F,21690,0,0
1SDA067459R1,XT1H 160 TMD 80-800 4p F F,21690,0,0
1SDA067460R1,XT1H 160 TMD 100-1000 4p F F,21690,0,0
1SDA067463R1,XT1H 160 TMD 125-1250 4p F F InN=100%,26670,0,0
1SDA067464R1,XT1H 160 TMD 160-1600 4p F F InN=100%,28200,0,0
1SDA068058R1,XT3N 250 TMD 200-2000 3p F F,22100,0,0
1SDA068059R1,XT3N 250 TMD 250-2500 3p F F,25660,0,0
1SDA068069R1,XT3N 250 TMD 200-2000 4p F F InN=100%,24320,0,0
1SDA068070R1,XT3N 250 TMD 250-2500 4p F F InN=100%,29020,0,0
1SDA068220R1,XT3S 250 TMD 200-2000 3p F F,24470,0,0
1SDA068221R1,XT3S 250 TMD 250-2500 3p F F,27220,0,0
1SDA068231R1,XT3S 250 TMD 200-2000 4p F F InN=100%,28420,0,0
1SDA068232R1,XT3S 250 TMD 250-2500 4p F F InN=100%,31190,0,0
1SDA067000R1,"XT2N 160 TMD 1,6-16 3p F F",15000,0,0
1SDA067001R1,XT2N 160 TMD 2-20 3p F F,15000,0,0
1SDA067002R1,"XT2N 160 TMD 2,5-25 3p F F",15000,0,0
1SDA067003R1,"XT2N 160 TMD 3,2-32 3p F F",15000,0,0
1SDA067004R1,XT2N 160 TMD 4-40 3p F F,15000,0,0
1SDA067005R1,XT2N 160 TMD 5-50 3p F F,15000,0,0
1SDA067006R1,"XT2N 160 TMD 6,3-63 3p F F",15000,0,0
1SDA067007R1,XT2N 160 TMD 8-80 3p F F,15000,0,0
1SDA067008R1,XT2N 160 TMD 10-100 3p F F,15000,0,0
1SDA067009R1,"XT2N 160 TMD 12,5-125 3p F F",15000,0,0
