Item_code,item_description,MRP,Basic Price,MOQ
FA20-BI,,160,100.8,10
FA32-BI,,170,107.1,10
FB32-BI,,235,148.05,10
FD32-BI,,245,154.35,10
HA32-BI,,300,189,5
HD32-BI,,350,220.5,5
KA63-BI,,365,229.95,5
KD63-BI,,440,277.2,5
LA125-BI,,1050,661.5,1
LD125-BI,,1365,859.95,1
32NNSF-BI,,200,126,10
63ENSF-BT,,1715,"1,080.45",5
SB00-PB-BT,,400,252,3
IPB00-BT,,60,37.8,6
TC00-BT,,60,37.8,3
TS00-BT,,50,31.5,6
SD1-S-BT,,1010,636.3,3
SD2-S-BT,,1490,938.7,3
SD3-S-BT,,2160,"1,360.80",3
SD4-S-BT,,4890,"3,080.70",1
SSD2-BI,,70,44.1,20
SSD4-BI,,70,44.1,20
SSD6-BI,,70,44.1,20
SSD10-BI,,70,44.1,20
SSD16-BI,,75,47.25,20
SSD20-BI,,75,47.25,20
SSD25-BI,,80,50.4,20
SSD32-BI,,80,50.4,20
NSD2-BI,,60,37.8,20
NSD4-BI,,60,37.8,20
NSD6-BI,,60,37.8,20
NSD10-BI,,60,37.8,20
NSD16-BI,,70,44.1,20
NSD20-BI,,70,44.1,20
NSD25-BI,,70,44.1,20
NSD32-BI,,70,44.1,20
ESD2-BI,,100,63,20
ESD4-BI,,100,63,20
ESD6-BI,,100,63,20
ESD10-BI,,100,63,20
ESD16-BI,,100,63,20
ESD20-BI,,100,63,20
ESD25-BI,,105,66.15,20
ESD32-BI,,105,66.15,20
ESD40-BI,,135,85.05,20
ESD50-BI,,135,85.05,20
ESD63-BI,,135,85.05,20
2HO7-660-BI,,100,63,20
4HO7-660-BI,,105,66.15,20
6HO7-660-BI,,105,66.15,20
10HO7-660-BI,,105,66.15,20
16HO7-660-BI,,115,72.45,20
20HO7-660-BI,,115,72.45,20
25HO7-660-BI,,120,75.6,20
32HO7-660-BI,,120,75.6,20
35KO7-660-BI,,175,110.25,20
40KO7-660-BI,,175,110.25,20
50KO7-660-BI,,190,119.7,20
63KO7-660-BI,,190,119.7,20
80L14-660-BI,,315,198.45,10
100L14-660-BI,,315,198.45,10
125M14-660-BI,,640,403.2,5
160M14-660-BI,,685,431.55,5
200M14-660-BI,,710,447.3,5
80LO9-660-BI,,355,223.65,10
100LO9-660-BI,,360,226.8,10
125MO9-660-BI,,695,437.85,5
160MO9-660-BI,,710,447.3,5
200MO9-660-BI,,780,491.4,5
250NO9-660-BI,,1310,825.3,1
315NO9-660-BI,,1330,837.9,1
355P11-660-BI,,1620,"1,020.60",1
400P11-660-BI,,1665,"1,048.95",1
450R11-660-BI,,1870,"1,178.10",1
500R11-660-BI,,1945,"1,225.35",1
560R11-660-BI,,2195,"1,382.85",1
630R11-660-BI,,2335,"1,471.05",1
NITD2-BI,,90,56.7,20
NITD4-BI,,90,56.7,20
NITD6-BI,,90,56.7,20
NITD10-BI,,90,56.7,20
NITD16-BI,,90,56.7,20
