item_code,item_description,MRP,Basic Price,MOQ
170E2095,FUSE 250A 500V TP 405 AR,,6256.00,5
170E3584,FUSE 80A 750V 1*EK/155 GDC DC gR,,9025.00,1
170L4716,FUSE 200A 1000V 1SHT AR,,9557.00,3
170L7299,FUSE 1000A 1000V 3/110 AR,,6661.00,1
170L7299-H,FUSE 1000A 1000V 3S/100 AR,,7527.00,1
170L8082,FUSE 525A 1000V 2SKN/170 AR,,8416.00,2
170L8109,FUSE 450A 1000V 2S/130 AR,,9965.00,2
170L8110,FUSE 450A 1000V 2SKN/170 AR,,8266.00,2
170L8115,FUSE 450A 1000V 2STN/130 AR,,9815.00,1
170L8880,FUSE 500A 1000V 2BKN/75 AR,,4865.00,2
170L9578,FUSE 750A 1000V 3BKN/75 AR,,10994.00,2
170L9581,FUSE 725A 1000V 3BKN/75 AR,,11262.00,2
170L9666,FUSE 1000A 1000V 3BN/75 AR,,8881.00,2
170N3437,FUSE 65A 660V 0000FU/65 GR,,1926.00,10
170M0213,FUSE 40A 660V 0000FU/65 GR UR,,674.00,10
170M1309,FUSE 16A 690V 000U/80 GR UC,,706.00,10
170M1310,FUSE 20A 690V 000U/80 GR UC,,717.00,10
170M1312,FUSE 32A 690V 000U/80 GR UC,,786.00,10
170M1314,FUSE 50A 690V 000U/80 GR UC,,786.00,10
170M1316,FUSE 80A 690V 000U/80 AR UC,,920.00,10
170M1358,FUSE 10A 690V 000/80 GR UC,,706.00,10
170M1359,FUSE 16A 690V 000/80 GR UC,,706.00,10
170M1360,FUSE 20A 690V 000/80 GR UC,,706.00,10
170M1408,FUSE 10A 690V 000TN/80 GR UC,,562.00,10
170M1409,FUSE 16A 690V 000TN/80 GR UC,,578.00,10
170M1410,FUSE 20A 690V 000TN/80 GR UC,,594.00,10
170M1411,FUSE 25A 690V 000TN/80 GR UC,,610.00,10
170M1412,FUSE 32A 690V 000TN/80 GR UC,,631.00,10
170M1413,FUSE 40A 690V 000TN/80 GR UC,,647.00,10
170M1414,FUSE 50A 690V 000TN/80 GR UC,,674.00,10
170M1750,FUSE 25A 690V 000FU/70 AR CU,,1193.00,5
170M1755,FUSE 80A 690V IEC aR 000FU/70,,1434.00,5
170M1757,FUSE 125A 690V 000FU/70 AR CU,,1546.00,5
170M1760,FUSE 250A 690V 000FU/70 AR CU,,1691.00,5
170M1761,FUSE 315A 690V IEC aR 000FU/70,,1739.00,1
170M1802,FUSE 25A 1000V IEC aR 000FU/90,,2472.00,3
170M1804,FUSE 40A 1000V 000FU/90 AR,,2461.00,3
170M1806,FUSE 63A 1000V 000FU/90 AR UR,,2531.00,3
170M1808,FUSE 100A 1000V 000FU/90 AR UR,,2595.00,3
170M1810,FUSE 160A 1000V 000FU/90 AR UR,,3028.00,3
170M1811,FUSE 200A 1000V 000FU/90 AR UR,,3119.00,3
170M1813,FUSE 250A 1000V 000FU/90 AR UR,,4467.00,3
170M1831,FUSE 400A 1000V 230FU/90 AR CU,,7415.00,6
170M2005,FUSE 160A 750VDC 1C/A124 PC GR,,9207.00,1
170M2010,FUSE 450A 750VDC A3/A130 PC GR,,17741.00,1
170M2011,FUSE 500A 750VDC A3/A130 PC GR,,18998.00,1
170M3008,FUSE 40A 690V 1*/80 AR UC,,2322.00,6
170M3009,FUSE 50A 690V 1*/80 AR UC,,2413.00,6
170M3010,FUSE 63A 690V 1*/80 AR UC,,2461.00,6
170M3012,FUSE 100A 690V 1*/80 AR UC,,1728.00,6
170M3016,FUSE 250A 690V 1*/80 AR UC,,1873.00,6
170M3023,FUSE 630A 690V 1*/80 AR UC,,2718.00,6
170M3062,FUSE 100A 690V 1*TN/80 AR UC,,2948.00,6
170M3064,FUSE 160A 690V 1*TN/80 AR UC,,3066.00,6
170M3065,FUSE 200A 690V 1*TN/80 AR UC,,3124.00,6
170M3066,FUSE 250A 690V 1*TN/80 AR UC,,3189.00,6
170M3067,FUSE 315A 690V 1*TN/80 AR UC,,3253.00,6
170M3069,FUSE 400A 690V 1*TN/80 AR UC,,3381.00,6
170M3071,FUSE 500A 690V 1*TN/80 AR UC,,3520.00,6
170M3073,FUSE 630A 690V 1*TN/80 AR UC,,3659.00,6
170M3108,FUSE 40A 690V 1*KN/80 AR UC,,1803.00,6
170M3109,FUSE 50A 690V 1*KN/80 AR UC,,1803.00,6
170M3110,FUSE 63A 690V 1*KN/80 AR UC,,1798.00,6
170M3111,FUSE 80A 690V 1*KN/80 AR UC,,1873.00,6
170M3112,FUSE 100A 690V 1*KN/80 AR UC,,1873.00,6
170M3113,FUSE 125A 690V 1*KN/80 AR UC,,1856.00,6
170M3119,FUSE 400A 690V 1*KN/80 AR UC,,2953.00,6
170M3121,FUSE 500A 690V 1*KN/80 AR UC,,3135.00,6
170M3122,FUSE 550A 690V 1*KN/80 AR UC,,3167.00,6
170M3123,FUSE 630A 690V 1*KN/80 AR UC,,3264.00,6
170M3161,FUSE 80A 690V 1*/110 AR UC,,2894.00,6
170M3164,FUSE 160A 690V 1*/110 AR UC,,3012.00,6
170M3165,FUSE 200A 690V 1*/110 AR UC,,3044.00,6
170M3167,FUSE 315A 690V 1*/110 AR UC,,3103.00,6
170M3170,FUSE 450A 690V 1*/110 AR UC,,3258.00,6
170M3208,FUSE 40A 690V 1*TN/110 AR UC,,1910.00,6
170M3209,FUSE 50A 690V 1*TN/110 AR UC,,1926.00,6
170M3210,FUSE 63A 690V 1*TN/110 AR UC,,1926.00,6
170M3213,FUSE 125A 690V 1*TN/110 AR UC,,2247.00,6
170M3217,FUSE 315A 690V 1*TN/110 AR UC,,2696.00,6
170M3219,FUSE 400A 690V 1*TN/110 AR UC,,2696.00,6
170M3261,FUSE 80A 690V 1*KN/110 AR UC,,2937.00,6
170M3264,FUSE 160A 690V 1*KN/110 AR UC,,3023.00,6
170M3265,FUSE 200A 690V 1*KN/110 AR UC,,3066.00,6
170M3266,FUSE 250A 690V 1*KN/110 AR UC,,3082.00,6
170M3267,FUSE 315A 690V 1*KN/110 AR UC,,3162.00,6
